gene name	chromosome	start	end	strand	half-time	basal skewing	sqrtRSS	RPKM (t=0)	known escapee? (source)	known silenced? (source)	validated by mRNA-Seq (half-time)	predicted class by XCI/escape model	class probability
5730405O15Rik	chrX	13042014	13045297	+	3.03	0.49	1.20	17.31				1	0.06
Mtcp1	chrX	75410443	75416588	-	3.04	0.56	0.47	1.69	Yes (7*)			1	0.07
Pbdc1	chrX	105079755	105117090	+	3.07	0.57	0.42	8.16	Yes (1,2,3,5,6,7)			1	0.21
Hcfc1	chrX	73942791	73966357	-	3.16	0.50	0.97	18.96	Yes (2,6)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells		1	0.04
2010308F09Rik	chrX	13234640	13247736	-	3.20	0.51	0.71	0.68			 	1	0.02
Zfp275	chrX	73342620	73359080	+	3.26	0.41	0.65	14.70	Yes (7*)			1	0.06
2810403D21Rik	chrX	108833799	108974906	+	3.35	0.61	0.84	4.07			 	1	0.27
Gm26652	chrX	19224788	19237856	-	3.37	0.36	0.87	18.09			 	1	0.06
1810030O07Rik	chrX	12654878	12673668	-	3.47	0.50	0.76	23.62	Yes (1,5,6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	 	1	0.03
Adgrg2	chrX	160390689	160498070	+	3.47	0.23	1.48	0.12	Yes (7*)		 	1	0.28
Atp6ap2	chrX	12587800	12617049	+	3.47	0.45	0.30	11.55	Yes (7*)	Yes (1), proximal to ecapee	Yes (2.27)	1	0.02
Brcc3	chrX	75416627	75454001	+	3.47	0.50	0.93	5.56	Yes (7*)			1	0.10
Ddx3x	chrX	13280969	13294052	+	3.47	0.38	0.84	38.84	Yes (1,2,4,5,6,7)			1	0.03
Dkc1	chrX	75095853	75109777	+	3.47	0.51	1.12	49.95	Yes (7*)		Yes (3.47)	1	0.07
Ebp	chrX	8185328	8193512	-	3.47	0.48	1.00	24.90	Yes (6)			1	0.01
Fam3a	chrX	74384718	74393272	-	3.47	0.44	0.74	23.96	Yes (7*)			1	0.08
Gm14817	chrX	73795214	73797616	+	3.47	0.53	1.09	10.88			 	1	0.04
Gm14820	chrX	8042942	8074619	+	3.47	0.34	0.60	60.93			Yes (2.14)	1	0.19
Idh3g	chrX	73778962	73786897	-	3.47	0.40	0.40	70.00	Yes (5,7*)		Yes (2.84)	1	0.05
Mmgt1	chrX	56585511	56598069	-	3.47	0.47	1.38	8.32	Yes (5,6,7*)			1	0.27
Nkap	chrX	37126794	37150746	+	3.47	0.49	1.35	10.85	Yes (2,3,6,7*)	Yes (6), late inactivation in EBs, escapee in neuronal progenitor cells	Yes (2.04)	1	0.07
Rpgr	chrX	10073620	10216920	-	3.47	0.43	0.89	2.55	Yes (7*)		Yes (3.47)	1	0.03
Slc35a2	chrX	7884027	7894492	+	3.47	0.43	1.26	14.72	Yes (6,7*)			1	0.09
Slc9a7	chrX	20105754	20291807	-	3.47	0.32	0.89	0.62	Yes (7*)		 	1	0.11
Tbc1d25	chrX	8154471	8176181	-	3.47	0.42	0.68	14.24	Yes (7*)		Yes (2.04)	1	0.02
Tmem29	chrX	150397772	150459154	-	3.47	0.44	1.42	4.29	Yes (5,7*)		 	1	0.22
Upf3b	chrX	37091677	37110322	-	3.47	0.51	0.91	9.21				1	0.10
